,comment_id,user_id,platform,date_time,likes_count,comment_raw,comment_cleaned_emoji,comment_cleaned_no_emoji,comment_processed,vader_compound_emoji,vader_compound_no_emoji
1430,18067364359268825,1701172482,instagram,2021-02-10 16:50:00,0,Dancing Wife😂😂😂 The cats got you 😂😂See you Saturday night 👍👍👍👍,Dancing Wife😂😂😂 The cats got you 😂😂See you Saturday night 👍👍👍👍,Dancing Wife The cats got you See you Saturday night ,"['dancing', 'cats', 'got', 'saturday', 'night']",0.8658,0.0
1431,17864472629360175,45120454017,instagram,2021-02-10 16:28:08,0,Nice 👏,Nice 👏,Nice ,['nice'],0.4215,0.4215
1432,18195481960056787,7494054360,instagram,2021-02-10 16:26:26,0,"My signature move ends the game, opens with “ I’m sick of this” followed by a quick flip of the board .","My signature move ends the game, opens with “ I’m sick of this” followed by a quick flip of the board .","My signature move ends the game, opens with “ I’m sick of this” followed by a quick flip of the board .","['signature', 'move', 'ends', 'game', 'opens', 'sick', 'followed', 'quick', 'flip', 'board']",-0.5106,-0.5106
1433,18199837642008127,2018759106,instagram,2021-02-10 15:51:43,0,The cat...🤣🤣🤣🙈🙈,The cat...🤣🤣🤣🙈🙈,The cat...🤣🤣🤣,['cat'],0.8625,0.8625
1434,18158016832110234,1538309346,instagram,2021-02-10 15:40:35,0,"Love chess, have an awesome Harry Potter chess set but my other half won’t play... 😭","Love chess, have an awesome Harry Potter chess set but my other half won’t play... 😭","Love chess, have an awesome Harry Potter chess set but my other half won’t play... ","['love', 'chess', 'awesome', 'harry', 'potter', 'chess', 'set', 'half', 'play']",0.4767,0.8047
1435,17878736222134587,4201085412,instagram,2021-02-10 08:36:40,0,Oohhh. Take blacks pawn on d5. It can’t take back coz the king would be in check 👑,Oohhh. Take blacks pawn on d5. It can’t take back coz the king would be in check 👑,Oohhh. Take blacks pawn on d5. It can’t take back coz the king would be in check ,"['oohhh', 'take', 'blacks', 'pawn', 'take', 'back', 'coz', 'king', 'check']",0.0,0.0
1436,18192427882028000,572483353,instagram,2021-02-10 07:59:59,0,Chess ... A great game if played properly ... not the way I play,Chess ... A great game if played properly ... not the way I play,Chess ... A great game if played properly ... not the way I play,"['chess', 'great', 'game', 'played', 'properly', 'way', 'play']",0.836,0.836
1437,17860884059354819,1506702456,instagram,2021-02-10 07:34:14,0,Love it!,Love it!,Love it!,['love'],0.6696,0.6696
1438,17860022111462527,2966712128,instagram,2021-02-10 07:30:44,0,Looking gorgeous Kelly 💞,Looking gorgeous Kelly 💞,Looking gorgeous Kelly ,"['looking', 'gorgeous', 'kelly']",0.8519,0.6124
1439,17845578317522977,45268839484,instagram,2021-02-10 06:28:22,0,"Princesses sabusee,kel ❤️","Princesses sabusee,kel ❤️","Princesses sabusee,kel ","['princesses', 'sabusee', 'kel']",0.0,0.0
1440,17929128910494203,182557347,instagram,2021-02-10 06:19:44,0,@jennygreene the cats like seriously ur taking another pic listen peasant move on 😂😂, the cats like seriously ur taking another pic listen peasant move on 😂😂, the cats like seriously ur taking another pic listen peasant move on ,"['cats', 'like', 'seriously', 'ur', 'taking', 'another', 'pic', 'listen', 'peasant', 'move']",0.765,0.2023
1441,17890774906927266,201639477,instagram,2021-02-10 06:11:32,0,"Tune for Caption,Call him mister raider😂The ball and chain so much concentration 😀","Tune for Caption,Call him mister raider😂The ball and chain so much concentration 😀","Tune for Caption,Call him mister raiderThe ball and chain so much concentration ","['tune', 'caption', 'call', 'mister', 'ball', 'chain', 'much', 'concentration']",0.2177,0.0
1442,17871515033310058,221275736,instagram,2021-02-10 06:00:13,1,@jennygreene  @kel_keogh  Can I ask where your sofa is from? We are on the hunt for a new comfy one ...,    Can I ask where your sofa is from? We are on the hunt for a new comfy one ...,    Can I ask where your sofa is from? We are on the hunt for a new comfy one ...,"['ask', 'sofa', 'hunt', 'new', 'comfy']",0.0,0.0
1443,17894953708815711,39734741,instagram,2021-02-10 05:55:25,4,The cat 😭😭😭😭😭,The cat 😭😭😭😭😭,The cat ,['cat'],-0.9382,0.0
1444,17914354444589815,2205206650,instagram,2021-02-10 05:52:24,0,Who won?,Who won?,Who won?,[],0.5719,0.5719
1445,17885250029011160,2018403067,instagram,2021-02-10 05:49:06,1,🙌🙌🙌🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,🙌🙌🙌🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,,[],0.0,0.0
1446,17900256238754569,26783541707,instagram,2021-02-10 05:48:35,1,Looks tense 😬 😂,Looks tense 😬 😂,Looks tense  ,"['looks', 'tense']",-0.2263,-0.34
1447,17947209280425262,11065499840,instagram,2021-02-10 05:43:44,1,Cat knows he is God. 🙌 🔥,Cat knows he is God. 🙌 🔥,Cat knows he is God.  ,"['cat', 'knows', 'god']",-0.0772,0.2732
1448,17858977673391176,1972857607,instagram,2021-02-10 05:42:37,1,"I married a DJ & we literally have a custom built rave cave & the fecker has us playing chess, like not even 4D chess just regular chess for feck sake......🙄🙄🙄🙄","I married a DJ & we literally have a custom built rave cave & the fecker has us playing chess, like not even 4D chess just regular chess for feck sake......🙄🙄🙄🙄","I married a DJ & we literally have a custom built rave cave & the fecker has us playing chess, like not even 4D chess just regular chess for feck sake......","['married', 'dj', 'literally', 'custom', 'built', 'rave', 'cave', 'fecker', 'us', 'playing', 'chess', 'like', 'even', 'chess', 'regular', 'chess', 'feck', 'sake']",0.5106,0.5106
1449,17873594189201438,185925130,instagram,2021-02-10 05:38:33,1,Ha ha love it!! Go on @kel_keogh look at the concentration. Get that bishop taken 😂,Ha ha love it!! Go on  look at the concentration. Get that bishop taken 😂,Ha ha love it!! Go on  look at the concentration. Get that bishop taken ,"['ha', 'ha', 'love', 'go', 'look', 'concentration', 'bishop', 'taken']",0.9097,0.8619
1450,18073115266253111,364108936,instagram,2021-02-10 05:37:37,1,Hansom cat 😻🙀😻🙀,Hansom cat 😻🙀😻🙀,Hansom cat ,"['hansom', 'cat']",0.4215,0.0
