,comment_id,user_id,platform,date_time,likes_count,comment,comment_no_emoji,comment_processed
159,17889819796943297,451985209,instagram,2021-02-11 01:48:16,9,"Yes, yes u do. Mass job crisis incoming","Yes, yes u do. Mass job crisis incoming","['yes', 'yes', 'u', 'mass', 'job', 'crisis', 'incoming']"
160,17907897910639096,1404484862,instagram,2021-02-11 01:44:34,20,I wish we could choose the better candidate and not the least bad one,I wish we could choose the better candidate and not the least bad one,"['wish', 'could', 'choose', 'better', 'candidate', 'least', 'bad', 'one']"
161,17914883674598355,206528130,instagram,2021-02-11 01:43:31,14,CNN misses Trump that's for sure. Ratings at an all time low.,CNN misses Trump that's for sure. Ratings at an all time low.,"['cnn', 'misses', 'sure', 'ratings', 'time', 'low']"
162,17882742872022367,4148241832,instagram,2021-02-11 01:42:19,62,Boring news is good news,Boring news is good news,"['boring', 'news', 'good', 'news']"
163,17868608873326273,12129736059,instagram,2021-02-11 01:41:21,20,Did you want to lose some followers?,Did you want to lose some followers?,"['want', 'lose', 'followers']"
164,17879619893115351,26692998916,instagram,2021-02-11 01:38:50,56,People really think biden is gonna help america,People really think biden is gonna help america,"['people', 'really', 'think', 'biden', 'gon', 'na', 'help', 'america']"
165,17868980159321523,5840335520,instagram,2021-02-11 01:38:40,0,Here we go...,Here we go...,['go']
166,17873059490178522,36801961170,instagram,2021-02-11 01:38:39,3,I wish everyone would make it past the third panel,I wish everyone would make it past the third panel,"['wish', 'everyone', 'would', 'make', 'past', 'third', 'panel']"
167,17927604178498251,8402898072,instagram,2021-02-11 01:37:25,91,Orange man BAAAAAD,Orange man BAAAAAD,"['orange', 'man', 'baaaaad']"
168,17860519943422296,1567897003,instagram,2021-02-11 01:37:11,81,I don't think it's possible for me to miss someone less lmao,I don't think it's possible for me to miss someone less lmao,"['think', 'possible', 'miss', 'someone', 'less', 'lmao']"
169,17875603061131658,26705828,instagram,2021-02-11 01:36:46,10,"It’s like a show I hated watching but couldn’t stop watching is no longer making new episodes, just publishing little videos on social media. I CAN’T DECIDE IF IT’S ENOUGH OR NOT! 😱😱😱","It’s like a show I hated watching but couldn’t stop watching is no longer making new episodes, just publishing little videos on social media. I CAN’T DECIDE IF IT’S ENOUGH OR NOT! ","['like', 'show', 'hated', 'watching', 'stop', 'watching', 'longer', 'making', 'new', 'episodes', 'publishing', 'little', 'videos', 'social', 'media', 'decide', 'enough']"
170,18148920949125308,3907743309,instagram,2021-02-11 01:36:34,4,The hashtags are always so fun to read,The hashtags are always so fun to read,"['hashtags', 'always', 'fun', 'read']"
171,17888284258914559,4650811827,instagram,2021-02-11 01:33:51,68,ooo this comment section is about to amazing,ooo this comment section is about to amazing,"['ooo', 'comment', 'section', 'amazing']"
172,17920514707538860,4209370120,instagram,2021-02-12 10:07:22,1,SO ARE REPUBLICANS,SO ARE REPUBLICANS,['republicans']
173,17883078026011680,5348031437,instagram,2021-02-12 00:24:38,1,#RepublicanCowards #JohnCornynIsACoward #TedCruzIsACoward,  ,[]
174,17879766053076441,35100179156,instagram,2021-02-11 10:55:57,1,#fascisttrump🔥,,[]
175,17864731085369188,25112959311,instagram,2021-02-15 10:57:46,0,Look at Killer Clinton talking!! 😒,Look at Killer Clinton talking!! ,"['look', 'killer', 'clinton', 'talking']"
176,17861462849340954,50150588,instagram,2021-02-14 23:08:41,0,Shes an idiot that needs to have a life sentence in prison for the horror shes committed!!,Shes an idiot that needs to have a life sentence in prison for the horror shes committed!!,"['shes', 'idiot', 'needs', 'life', 'sentence', 'prison', 'horror', 'shes', 'committed']"
177,17876838890112617,235616268,instagram,2021-02-14 13:21:26,0,She should know!!! 🙄,She should know!!! ,['know']
178,18092967742230052,237669718,instagram,2021-02-14 09:25:41,0,Where did she come from? All of a@sudden we hear her speak,Where did she come from? All of a we hear her speak,"['come', 'hear', 'speak']"
179,17874128510166053,965805073,instagram,2021-02-14 08:43:29,0,"IT IS AMAZING THAT  MS. EMAIL-HILLARY-BENGHAZI WANTS TO ACCUSE HIM WHEN HE DECIDED NOT TO PURSUE HER INVESTIGATION WHEN HE  BECAME OUR HONORABLE PRESIDENT. SHE  CAN NOT THROW  A DEMEANING LIE TO THIS PELOSI-KANGAROO COURT. I WILL PRAY HER,  PELOSI, HARRIS, BIDEN,  AND THE REST OF THESE 'PHARISEES.  REPENT AND TURN TO GOD! HE WILL HELP THEM ALL, IF NOT THE AMENDMENT 25 SHOULD BE USED FOR ALL OF THEM!","IT IS AMAZING THAT  MS. EMAIL-HILLARY-BENGHAZI WANTS TO ACCUSE HIM WHEN HE DECIDED NOT TO PURSUE HER INVESTIGATION WHEN HE  BECAME OUR HONORABLE PRESIDENT. SHE  CAN NOT THROW  A DEMEANING LIE TO THIS PELOSI-KANGAROO COURT. I WILL PRAY HER,  PELOSI, HARRIS, BIDEN,  AND THE REST OF THESE 'PHARISEES.  REPENT AND TURN TO GOD! HE WILL HELP THEM ALL, IF NOT THE AMENDMENT 25 SHOULD BE USED FOR ALL OF THEM!","['amazing', 'wants', 'accuse', 'decided', 'pursue', 'investigation', 'became', 'honorable', 'president', 'throw', 'demeaning', 'lie', 'court', 'pray', 'pelosi', 'harris', 'biden', 'rest', 'repent', 'turn', 'god', 'help', 'amendment', 'used']"
180,17885724692008618,277053155,instagram,2021-02-13 23:51:28,0,"She shouldn’t be talking. This one should be in jail for those 33,000 emails and Epstein bs.","She shouldn’t be talking. This one should be in jail for those 33,000 emails and Epstein bs.","['talking', 'one', 'jail', 'emails', 'epstein', 'bs']"
181,17867471198336843,266868088,instagram,2021-02-13 17:13:02,0,What an evil woman 😡 Hope she repents soon & sees the light of God’s Word ✝️,What an evil woman  Hope she repents soon & sees the light of God’s Word ,"['evil', 'woman', 'hope', 'repents', 'soon', 'sees', 'light', 'god', 'word']"
182,17932238089482311,1367131226,instagram,2021-02-13 16:58:14,0,And there’s the real purpose for this empty handed impeachment. Smear,And there’s the real purpose for this empty handed impeachment. Smear,"['real', 'purpose', 'empty', 'handed', 'smear']"
183,17949437908418066,1193659525,instagram,2021-02-13 15:45:25,0,Evil witch,Evil witch,"['evil', 'witch']"
184,18095830915222094,2177955097,instagram,2021-02-13 11:45:12,0,Wish she would just stfu!,Wish she would just stfu!,"['wish', 'would', 'stfu']"
185,17865148355353359,186748713,instagram,2021-02-13 11:22:44,1,This demonic witch needs to stop ✋🏾,This demonic witch needs to stop ,"['demonic', 'witch', 'needs', 'stop']"
186,17900760685752877,2177428673,instagram,2021-02-13 10:51:21,0,She's one to talk. She should be in prison right now for her crimes against this country. What a hypocrit,She's one to talk. She should be in prison right now for her crimes against this country. What a hypocrit,"['one', 'talk', 'prison', 'right', 'crimes', 'country', 'hypocrit']"
187,17898209002749854,247995617,instagram,2021-02-13 09:59:01,0,😂😂😂😂😂😂😂😂😂😂,,[]
188,17889240118963888,29351903723,instagram,2021-02-13 09:52:27,0,Satans sister,Satans sister,"['satans', 'sister']"
189,17861356886361295,174324946,instagram,2021-02-13 09:19:42,0,Miss pizza gate Hitlery!!,Miss pizza gate Hitlery!!,"['miss', 'pizza', 'gate', 'hitlery']"
190,17905237951690366,12369907084,instagram,2021-02-13 08:36:09,0,"Yeah, she knows all about rigged juries, rigged elections and deceit in general.","Yeah, she knows all about rigged juries, rigged elections and deceit in general.","['yeah', 'knows', 'rigged', 'juries', 'rigged', 'elections', 'deceit', 'general']"
191,18064319800300638,7363791049,instagram,2021-02-13 08:15:03,0,Stage is set,Stage is set,"['stage', 'set']"
192,17870839700319628,2227611580,instagram,2021-02-13 07:33:46,0,Ironic coming from the Queen criminal,Ironic coming from the Queen criminal,"['ironic', 'coming', 'queen', 'criminal']"
193,17978513941350066,41141945003,instagram,2021-02-13 07:04:49,1,She needs to be in prison what a fucking joke she is,She needs to be in prison what a fucking joke she is,"['needs', 'prison', 'fucking', 'joke']"
194,17920603666525050,40504952521,instagram,2021-02-13 06:58:34,0,She should be the first one behind bars!,She should be the first one behind bars!,"['first', 'one', 'behind', 'bars']"
195,17877220652155483,1534136606,instagram,2021-02-13 06:02:22,0,People in glass houses....,People in glass houses....,"['people', 'glass', 'houses']"
196,17888238196977292,29627918502,instagram,2021-02-13 05:58:28,0,"When is Killary ever going to face the crimes and murders she put into action. Bitch should be executed on WH lawn for her lies, destruction and evil deeds. Hell is still real killary. Your room is ready.","When is Killary ever going to face the crimes and murders she put into action. Bitch should be executed on WH lawn for her lies, destruction and evil deeds. Hell is still real killary. Your room is ready.","['killary', 'ever', 'going', 'face', 'crimes', 'murders', 'put', 'action', 'bitch', 'executed', 'wh', 'lawn', 'lies', 'destruction', 'evil', 'deeds', 'hell', 'still', 'real', 'killary', 'room', 'ready']"
197,17869050929257492,295136942,instagram,2021-02-13 05:39:42,1,"Shit, I thought she was in jail or executed or something but NO...... she is fricking tweeting???? Seriously 🤪","Shit, I thought she was in jail or executed or something but NO...... she is fricking tweeting???? Seriously 🤪","['shit', 'thought', 'jail', 'executed', 'something', 'fricking', 'tweeting', 'seriously']"
198,17883368291073698,295460531,instagram,2021-02-13 05:23:32,0,"she is a violent criminal that has had many murdered, thats why she blames everyone else","she is a violent criminal that has had many murdered, thats why she blames everyone else","['violent', 'criminal', 'many', 'murdered', 'thats', 'blames', 'everyone', 'else']"
199,18192711037019315,39487890,instagram,2021-02-13 04:55:07,4,Speaking from experience?,Speaking from experience?,"['speaking', 'experience']"
200,17890964725890259,3457303769,instagram,2021-02-13 04:53:09,4,Hillary should be in jail now,Hillary should be in jail now,"['hillary', 'jail']"
201,17903964127686676,186263791,instagram,2021-02-13 04:22:10,1,Hahaha🔥 the devils running scared!,Hahaha the devils running scared!,"['hahaha', 'devils', 'running', 'scared']"
202,17897709502830726,11294706670,instagram,2021-02-13 03:33:15,2,"Hillbilly Hillary is just afraid Trump is coming for her! Remember Benghazi and The Steele Dascia - Russia Gate!  You better ask for forgiveness before you die, Jesus is the way,the truth, the life. Join a winning team- team Jesus!🙏✝️✝️","Hillbilly Hillary is just afraid Trump is coming for her! Remember Benghazi and The Steele Dascia - Russia Gate!  You better ask for forgiveness before you die, Jesus is the way,the truth, the life. Join a winning team- team Jesus!","['hillbilly', 'hillary', 'afraid', 'coming', 'remember', 'benghazi', 'steele', 'dascia', 'russia', 'gate', 'better', 'ask', 'forgiveness', 'die', 'jesus', 'way', 'truth', 'life', 'join', 'winning', 'team', 'jesus']"
203,18194670544003957,1355852211,instagram,2021-02-13 03:17:35,2,She's just as guilty,She's just as guilty,['guilty']
204,17899111738746233,408281562,instagram,2021-02-13 03:14:41,0,🙄,,[]
205,17888149492910914,374064601,instagram,2021-02-13 03:02:05,0,Really? 🙄,Really? ,['really']
206,17895474346816561,10195505383,instagram,2021-02-13 02:59:19,0,Look who iis talking...the most corrupted woman in America,Look who iis talking...the most corrupted woman in America,"['look', 'iis', 'talking', 'corrupted', 'woman', 'america']"
207,17897422303833389,2208927175,instagram,2021-02-13 02:52:58,3,I guess she remembers Benghazi,I guess she remembers Benghazi,"['guess', 'remembers', 'benghazi']"
208,18137837812148245,8523520560,instagram,2021-02-13 02:52:25,1,Spare me. @hillaryclinton #deepstate #satanslittlehelper,Spare me.   ,['spare']
209,17860986047464872,3898908732,instagram,2021-02-13 02:45:30,0,👹🍕👹🍕👹🍕,,[]
210,17897407411777154,32817581735,instagram,2021-02-13 02:45:20,1,They got it all witch...if they did not put you to death for your crimes against humanity yet...they are planning to.,They got it all witch...if they did not put you to death for your crimes against humanity yet...they are planning to.,"['got', 'witch', 'put', 'death', 'crimes', 'humanity', 'yet', 'planning']"
